SN	VFG	gi	name	shortDesc	vfDesc	vfID	org	vfclass
8529	VFG033518	260869683	sepQ	T3SS structure protein SepQ	LEE encoded T3SS	CVF431	Escherichia coli O111:H- str. 11128	Type III secretion system
8530	VFG033512	291285053	sepQ	sepQ	LEE encoded T3SS	CVF431	Escherichia coli O55:H7 str. CB9615	Type III secretion system
8531	VFG035915	218511204	aatB__1	AatB	ABC transporter for dispersin	CVF737	Escherichia coli 55989	Type I secretion system
8532	VFG040950	157156956	gspI__3	general secretion pathway protein I	gsp	SS206	Escherichia coli E24377A	Secretion system
8533	VFG033845	386622094	agn43	Putative antigen 43 precursor	"Antigen 43, AIDA-I type"	CVF451	Escherichia coli NA114	Autotransporter
8534	VFG033839	410480984	agn43	antigen 43 (Ag43) phase-variable biofilm formation autotransporter, CP4-44 prophage	"Antigen 43, AIDA-I type"	CVF451	Escherichia coli O104:H4 str. 2009EL-2050	Autotransporter
8535	VFG012458	49176177	agn43	CP4-44 prophage; antigen 43 (Ag43) phase-variable biofilm formation autotransporter	"Antigen 43, AIDA-I type"	CVF451	Escherichia coli str. K-12 substr. MG1655	Autotransporter
8536	VFG033838	260855975	agn43	AidA-I adhesin	"Antigen 43, AIDA-I type"	CVF451	Escherichia coli O26:H11 str. 11368	Autotransporter
8537	VFG033843	386638529	agn43	putative antigen 43	"Antigen 43, AIDA-I type"	CVF451	Escherichia coli ABU 83972	Autotransporter
8538	VFG012457	91210167	cah__1	putative autotransporter	"Cah, AIDA-I type"	CVF745	Escherichia coli UTI89	Autotransporter
8539	VFG036023	157154748	cah__1	antigen 43	"Cah, AIDA-I type"	CVF745	Escherichia coli E24377A	Autotransporter
8540	VFG036025	387612565	cah__1	putative adhesin autotransporter	"Cah, AIDA-I type"	CVF745	Escherichia coli O78:H11:K80 str. H10407	Autotransporter
8541	VFG012455	15830650	cah__1	AidA-I	"Cah, AIDA-I type"	CVF745	Escherichia coli O157:H7 str. Sakai	Autotransporter
8542	VFG012456	110643163	cah__1	putative autotransporter	"Cah, AIDA-I type"	CVF745	Escherichia coli 536	Autotransporter
8543	VFG036012	291284318	cah__2	type V secretory pathway, adhesin AidA	"Cah, AIDA-I type"	CVF745	Escherichia coli O55:H7 str. CB9615	Autotransporter
8544	VFG036017	260846938	cah__1	AidA-I adhesin-like protein	"Cah, AIDA-I type"	CVF745	Escherichia coli O103:H2 str. 12009	Autotransporter
8545	VFG036019	410480204	cah__1	antigen 43 precursor (AG43, Fluffing protein)	"Cah, AIDA-I type"	CVF745	Escherichia coli O104:H4 str. 2009EL-2050	Autotransporter
8546	VFG036024	157158925	cah__1	antigen 43	"Cah, AIDA-I type"	CVF745	Escherichia coli E24377A	Autotransporter
8547	VFG033719	260858240	ECO26_5249	hypothetical protein	LEE locus encoded TTSS	CVF431	Escherichia coli O26:H11 str. 11368	Type III secretion system
8548	VFG000834	15804251	Z5143	hypothetical protein	LEE locus encoded TTSS	CVF431	Escherichia coli O157:H7 str. EDL933	Type III secretion system
8549	VFG033711	215489002	E2348C_3971	hypothetical protein	LEE locus encoded TTSS	CVF431	Escherichia coli O127:H6 str. E2348/69	Type III secretion system
8550	VFG033718	260869664	ECO111_3730	hypothetical protein	LEE locus encoded TTSS	CVF431	Escherichia coli O111:H- str. 11128	Type III secretion system
8551	VFG033225	215489639	fimI__1	type 1 pilus biosynthesis fimbrial protein	Type I fimbriae	CVF426	Escherichia coli O127:H6 str. E2348/69	Adherence
8552	VFG033244	386602359	fimI__1	fimbrial protein	Type I fimbriae	CVF426	Escherichia coli O18:K1:H7 str. IHE3034	Adherence
8553	VFG033231	260847131	fimI__1	fimbrial protein FimI	Type I fimbriae	CVF426	Escherichia coli O103:H2 str. 12009	Adherence
8554	VFG033233	260858483	fimI__1	fimbrial protein FimI	Type I fimbriae	CVF426	Escherichia coli O26:H11 str. 11368	Adherence
8555	VFG033232	260871035	fimI__1	fimbrial protein FimI	Type I fimbriae	CVF426	Escherichia coli O111:H- str. 11128	Adherence
8556	VFG033246	443615870	fimI__1	fimbrial protein involved in type 1 pilus biosynthesis	Type I fimbriae	CVF426	Escherichia coli O78:H18 str. WS3294A	Adherence
8557	VFG012284	90111729	fimI__1	fimbrial protein involved in type 1 pilus biosynthesis	Type I fimbriae	CVF426	Escherichia coli str. K-12 substr. MG1655	Adherence
8558	VFG033242	387615048	fimI__1	fimbrial protein involved in type 1 pilus biosynthesis	Type I fimbriae	CVF426	Escherichia coli O78:H11:K80 str. H10407	Adherence
8559	VFG033229	254796317	fimI__1	type 1 pilus biosynthesis fimbrial protein	Type I fimbriae	CVF426	Escherichia coli O157:H7 str. TW14359	Adherence
8560	VFG042510	29293004	fotS	FotS	coli surface antigen CS18 (PCFO20)	AI031	Escherichia coli O20:K27:H- ARG-2	Adherence & invasion
8561	VFG043737	52854792	cdtC__9	cytolethal distending toxin C	Cytolethal distending toxin	TX055	Escherichia albertii str. 19982	Toxin
8562	VFG033339	387607089	fimG	fimbrial protein	Type I fimbriae	CVF426	Escherichia coli O44:H18 042	Adherence
8563	VFG033335	410482685	fimG	fimbrial-like adhesin protein	Type I fimbriae	CVF426	Escherichia coli O104:H4 str. 2009EL-2050	Adherence
8564	VFG042717	15801635	Z2205	putative fimbrial-like protein	F9 fimbriae	AI090	Escherichia coli O157:H7 str. EDL933	Adherence & invasion
8565	VFG043728	2218091	cdt-IIIC	cytolethal distending toxin-IIIC	Ec-CDT-III	TX052	Escherichia coli str. S5	Toxin
8566	VFG042565	110835654	fedA	fimbrial protein F107 subunit A precursor	F18 fimbriae	AI042	Escherichia coli O9 str. MP9716	Adherence & invasion
8567	VFG042394	1850974	ralF__5	putative minor fimbrial subunit	REPEC fimbriae	AI004	Escherichia coli O15:H- str. 83/39	Adherence & invasion
8568	VFG042590	46487739	stgA	StgA	Stg fimbriae	AI047	Escherichia coli O78:K80:H9 chi7122	Adherence & invasion
8569	VFG042545	1381554	fasG	FasG	987P fimbriae/ F6 fimbriae	AI038	Escherichia coli str. 987	Adherence & invasion
8570	VFG033717	260845719	ECO103_3640	T3SS component	LEE locus encoded TTSS	CVF431	Escherichia coli O103:H2 str. 12009	Type III secretion system
8571	VFG033370	218561496	fimH__2	minor component of type 1 fimbriae	Type I fimbriae	CVF426	Escherichia coli O45:K1:H7 str. S88	Adherence
8572	VFG033368	157157381	fimH__2	protein FimH	Type I fimbriae	CVF426	Escherichia coli E24377A	Adherence
8573	VFG012324	91213965	fimH__2	type 1 fimbiral adhesin FimH	Type I fimbriae	AI002	Escherichia coli UTI89	Adherence & invasion
8574	VFG033363	218703019	fimH__2	minor component of type 1 fimbriae	Type I fimbriae	CVF426	Escherichia coli O7:K1 str. IAI39	Adherence
8575	VFG033354	215489644	fimH__2	minor component of type 1 fimbriae	Type I fimbriae	CVF426	Escherichia coli O127:H6 str. E2348/69	Adherence
8576	VFG012320	15804895	fimH__2	minor fimbrial subunit, D-mannose specific adhesin	Type I fimbriae	CVF426	Escherichia coli O157:H7 str. EDL933	Adherence
8577	VFG033366	386622108	fimH__2	Mannose-specific adhesin FimH	Type I fimbriae	CVF426	Escherichia coli NA114	Adherence
8578	VFG033369	387615053	fimH__2	minor component of type 1 fimbriae	Type I fimbriae	CVF426	Escherichia coli O78:H11:K80 str. H10407	Adherence
8579	VFG033355	291285701	fimH__2	adhesin	Type I fimbriae	CVF426	Escherichia coli O55:H7 str. CB9615	Adherence
8580	VFG033375	222159051	fimH__2	Protein fimH	Type I fimbriae	CVF426	Escherichia coli O83:H1 str. LF82	Adherence
8581	VFG033376	387619678	fimH__2	type 1 fimbiral adhesin FimH	Type I fimbriae	CVF426	Escherichia coli O83:H1 str. NRG 857C	Adherence
8582	VFG033362	260858488	fimH__2	minor component FimH of type 1 fimbriae	Type I fimbriae	CVF426	Escherichia coli O26:H11 str. 11368	Adherence
8583	VFG012319	16132141	fimH__2	minor component of type 1 fimbriae	Type I fimbriae	CVF426	Escherichia coli str. K-12 substr. MG1655	Adherence
8584	VFG042499	2808456	cshG	cshG minor pilin	CS13 (PCFO9)	AI027	Escherichia coli str. PE	Adherence & invasion
8585	VFG035237	26249233	c3398	hypothetical protein	SCI-I T6SS	CVF734	Escherichia coli CFT073	Type VI secretion system
8586	VFG035250	222157512	LF82_438	hypothetical protein	SCI-I T6SS	CVF734	Escherichia coli O83:H1 str. LF82	Type VI secretion system
8587	VFG042727	15801156	csgE	curli assembly protein CsgE	Agf/Csg	AI093	Escherichia coli O157:H7 str. EDL933	Adherence & invasion
8588	VFG035506	222155039	aec30	hypothetical protein	ACE T6SS	CVF736	Escherichia coli O83:H1 str. LF82	Type VI secretion system
8589	VFG042482	191168911	cssC	CssC	coli surface antigen CS6	AI024	Escherichia coli O148:H28 str. B7A	Adherence & invasion
8590	VFG042399	15800800	ycbR	putative chaperone	E. coli YcbQ laminin-binding fimbriae (ELF)	AI005	Escherichia coli O157:H7 str. EDL933	Adherence & invasion
8591	VFG042782	15207775	cofJ	CofJ	"colonization factor antigen III, CFA/III (CS8)"	AI100	Escherichia coli str. 260-1	Adherence & invasion
8592	VFG033223	222159045	fimA__3	Type-1 fimbrial protein, A chain	Type I fimbriae	CVF426	Escherichia coli O83:H1 str. LF82	Adherence
8593	VFG034591	410480066	agg3A__1	hypothetical protein	AAF/III fimbriae	CVF682	Escherichia coli O104:H4 str. 2009EL-2050	Adherence
8594	VFG042768	156121673	lngJ	LngJ	Longus pili (CS20)	AI099	Escherichia coli O8:H9 str. E9034A	Adherence & invasion
8595	VFG043722	416216	cdtC__2	CdtC	Cytolethal distending toxin	TX050	Escherichia coli O86:H34 str. E6468/62	Toxin
8596	VFG033907	386599761	cdtC__2	cytolethal distending toxin, subunit C	Cytolethal distending toxin	CVF455	Escherichia coli O18:K1:H7 str. IHE3034	Toxin
8597	VFG033877	386617332	hlyD__1	hemolysin secretion protein HlyD	Alpha hemolysin	CVF453	Escherichia coli UMNK88	Toxin
8598	VFG012473	110644660	hlyD__1	hemolysin D	Alpha hemolysin	CVF453	Escherichia coli 536	Toxin
8599	VFG012472	110643971	hlyD__1	hemolysin D	Alpha hemolysin	CVF453	Escherichia coli 536	Toxin
8600	VFG033876	386641995	hlyD__1	hemolysin secretion protein D	Alpha hemolysin	CVF453	Escherichia coli ABU 83972	Toxin
8601	VFG012474	91213872	hlyD__1	hemolysin D	Alpha hemolysin	CVF453	Escherichia coli UTI89	Toxin
8602	VFG034897	291280882	espY1	hypothetical protein	LEE encoded T3SS	CVF707	Escherichia coli O55:H7 str. CB9615	Non-LEE encoded TTSS effectors
8603	VFG034899	254791195	espY1	non-LEE-encoded type III effector	LEE encoded T3SS	CVF707	Escherichia coli O157:H7 str. TW14359	Non-LEE encoded TTSS effectors
8604	VFG012317	91213964	fimG	type 1 fimbriae minor subunit precursor FimG	Type I fimbriae	AI002	Escherichia coli UTI89	Adherence & invasion
8605	VFG033344	218707986	fimG	minor component of type 1 fimbriae	Type I fimbriae	CVF426	Escherichia coli O17:K52:H18 str. UMN026	Adherence
8606	VFG033345	157157856	fimG	protein fimG	Type I fimbriae	CVF426	Escherichia coli E24377A	Adherence
8607	VFG012312	16132140	fimG	minor component of type 1 fimbriae	Type I fimbriae	CVF426	Escherichia coli str. K-12 substr. MG1655	Adherence
8608	VFG033343	386622107	fimG	Fimbrial protein FimG	Type I fimbriae	CVF426	Escherichia coli NA114	Adherence
8609	VFG012313	15804894	fimG	fimbrial morphology	Type I fimbriae	CVF426	Escherichia coli O157:H7 str. EDL933	Adherence
8610	VFG012316	110644761	fimG	FimG protein precursor	Type I fimbriae	CVF426	Escherichia coli 536	Adherence
8611	VFG033340	218703018	fimG	minor component of type 1 fimbriae	Type I fimbriae	CVF426	Escherichia coli O7:K1 str. IAI39	Adherence
8612	VFG042589	149930757	sfpG	w0012	Sfp fimbriae	AI046	Escherichia coli O157:H- str. 3072/96	Adherence & invasion
8613	VFG042092	15832970	eprK	EprK	ETT2	SS017	Escherichia coli O157:H7 str. Sakai	Secretion system
8614	VFG042367	73476885	LH0147	Adhesin	Sab	SS169	Escherichia coli O113:H21 str. EH41	Secretion system
8615	VFG042543	1381552	fasE	FasE	987P fimbriae/ F6 fimbriae	AI038	Escherichia coli str. 987	Adherence & invasion
8616	VFG033311	387607090	fimF__4	fimbrial protein	Type I fimbriae	CVF426	Escherichia coli O44:H18 042	Adherence
8617	VFG033307	410482684	fimF__4	fimbrial-like adhesin protein	Type I fimbriae	CVF426	Escherichia coli O104:H4 str. 2009EL-2050	Adherence
8618	VFG042657	30524683	pixG	PixG protein	Pix pilus	AI078	Escherichia coli str. X2194	Adherence & invasion
8619	VFG012293	38704256	fimC__4	FimC	Type I fimbriae	CVF426	Escherichia coli O157:H7 str. Sakai	Adherence
8620	VFG043073	15801189	flgA__15	flagellar basal body P-ring biosynthesis protein FlgA	Flagella	AI140	Escherichia coli O157:H7 str. EDL933	Adherence & invasion
8621	VFG034356	387508910	chuU	permease of iron compound ABC transporter	Hemin uptake	CVF460	Escherichia coli O55:H7 str. RM12579	Iron uptake
8622	VFG035303	386640310	ECABU_c31050	hypothetical protein	SCI-I T6SS	CVF734	Escherichia coli ABU 83972	Type VI secretion system
8623	VFG043074	15801190	flgB__6	flagellar basal body rod protein FlgB	Flagella	AI140	Escherichia coli O157:H7 str. EDL933	Adherence & invasion
8624	VFG033535	260858263	ECO26_5272	T3SS component protein	LEE locus encoded TTSS	CVF431	Escherichia coli O26:H11 str. 11368	Type III secretion system
8625	VFG033534	260869685	ECO111_3751	putative T3SS component protein	LEE locus encoded TTSS	CVF431	Escherichia coli O111:H- str. 11128	Type III secretion system
8626	VFG033533	260845696	ECO103_3617	T3SS component	LEE locus encoded TTSS	CVF431	Escherichia coli O103:H2 str. 12009	Type III secretion system
8627	VFG033451	209395770	espB__3	protein EspB	LEE encoded T3SS	CVF431	Escherichia coli O157:H7 str. EC4115	Type III secretion system
8628	VFG035287	387609964	EC042_4543	putative type VI secretion protein	SCI-I	SS183	Escherichia coli O44:H18 042	Secretion system
8629	VFG035288	386640309	ECABU_c31040	hypothetical protein	SCI-I T6SS	CVF734	Escherichia coli ABU 83972	Type VI secretion system
8630	VFG042494	2808451	cshB__2	cshB porin (usher)	CS13 (PCFO9)	AI027	Escherichia coli str. PE	Adherence & invasion
8631	VFG036022	387610190	cah__1	putative adhesin autotransporter	"Cah, AIDA-I type"	CVF745	Escherichia coli O44:H18 042	Autotransporter
8632	VFG036027	218561452	cah__1	antigen 43 precursor (AG43) (Fluffing protein)	"Cah, AIDA-I type"	CVF745	Escherichia coli O45:K1:H7 str. S88	Autotransporter
8633	VFG042087	15832973	eprH	EprH	ETT2	SS017	Escherichia coli O157:H7 str. Sakai	Secretion system
8634	VFG040931	75994478	etpC	type II secretion protein	etp	SS207	Escherichia coli O157:H7 str. EDL933	Secretion system
8635	VFG034869	387509493	espX4	hypothetical protein	LEE encoded T3SS	CVF703	Escherichia coli O55:H7 str. RM12579	Non-LEE encoded TTSS effectors
8636	VFG034590	218511232	agg3C	Outer membrane usher protein Agg3C	AAF/III fimbriae	CVF682	Escherichia coli 55989	Adherence
8637	VFG042767	156121672	lngI	LngI	Longus pili (CS20)	AI099	Escherichia coli O8:H9 str. E9034A	Adherence & invasion
8638	VFG035484	15799899	icmF__1	macrophage toxin	EHS	SS185	Escherichia coli O157:H7 str. EDL933	Secretion system
8639	VFG043096	15802302	motA__3	flagellar motor protein MotA	Flagella	AI140	Escherichia coli O157:H7 str. EDL933	Adherence & invasion
8640	VFG034000	218701706	iucA	aerobactin siderophore biosynthesis protein	Aerobactin	CVF457	Escherichia coli O7:K1 str. IAI39	Iron uptake
8641	VFG034358	254795458	chuU	permease of iron compound ABC transport system	Hemin uptake	CVF460	Escherichia coli O157:H7 str. TW14359	Iron uptake
8642	VFG012627	15804050	chuU	putative permease of iron compound ABC transport system	Hemin uptake	VF0234	Escherichia coli O157:H7 str. EDL933	Iron uptake
8643	VFG034365	218707135	chuU	putative hemin transport system permease	Hemin uptake	CVF460	Escherichia coli O17:K52:H18 str. UMN026	Iron uptake
8644	VFG034360	387609230	chuU	putative iron compound ABC transporter permease	Hemin uptake	CVF460	Escherichia coli O44:H18 042	Iron uptake
8645	VFG042470	41161	cs3-3	CS3 pilin precursor polypeptide (AA -22 to 146)	coli surface antigen CS3	AI021	Escherichia coli str. PB176	Adherence & invasion
8646	VFG042483	191168920	cssB	CssB	coli surface antigen CS6	AI024	Escherichia coli O148:H28 str. B7A	Adherence & invasion
8647	VFG034588	407471950	agg3B	Protein Agg3B, putative invasin	AAF/III fimbriae	CVF682	Escherichia coli O104:H4 str. 2009EL-2071	Adherence
8648	VFG034587	410480065	agg3B	Protein Agg3B, putative invasin	AAF/III fimbriae	CVF682	Escherichia coli O104:H4 str. 2009EL-2050	Adherence
8649	VFG042586	149930754	sfpD	w0009	Sfp fimbriae	AI046	Escherichia coli O157:H- str. 3072/96	Adherence & invasion
8650	VFG035888	110640455	aec7	hypothetical protein	ACE T6SS	CVF736	Escherichia coli 536	Type VI secretion system
8651	VFG042491	13096076	cswF	CS12 fimbria minor subunit protein precursor	coli surface antigen CS12 (PCFO159)	AI026	Escherichia coli O159:H4 str. 350C1	Adherence & invasion
8652	VFG042653	30524679	pixC	PixC protein	Pix pilus	AI078	Escherichia coli str. X2194	Adherence & invasion
8653	VFG042651	30524677	pixA	PixA protein	Pix pilus	AI078	Escherichia coli str. X2194	Adherence & invasion
8654	VFG042526	3372510	afrR	transcriptional activator AfrR	adhesive factor/rabbit 1 (AF/R1) pili	AI035	Escherichia coli str. RDEC-1	Adherence & invasion
8655	VFG041002	284924300	aaiV	hypothetical protein	AAI/SCI-II	SS182	Escherichia coli O44:H18 042	Secretion system
8656	VFG012289	91213960	fimI__1	FimI fimbrial protein	Type I fimbriae	AI002	Escherichia coli UTI89	Adherence & invasion
8657	VFG033226	291285696	fimI__1	FimI fimbrial protein	Type I fimbriae	CVF426	Escherichia coli O55:H7 str. CB9615	Adherence
8658	VFG012286	15834528	fimI__1	FimI	Type I fimbriae	CVF426	Escherichia coli O157:H7 str. Sakai	Adherence
8659	VFG012285	15804890	fimI__1	fimbrial protein	Type I fimbriae	CVF426	Escherichia coli O157:H7 str. EDL933	Adherence
8660	VFG042650	30524676	pixB	PixB protein	Pix pilus	AI078	Escherichia coli str. X2194	Adherence & invasion
8661	VFG033783	254793629	espJ__5	translocated type III secretion system effector	LEE encoded T3SS	CVF441	Escherichia coli O157:H7 str. TW14359	Non-LEE encoded TTSS effectors
8662	VFG033902	386606910	hlyC__1	hemolysin-activating lysine-acyltransferase HlyC	Alpha hemolysin	CVF453	Escherichia coli UM146	Toxin
8663	VFG033837	26249490	agn43	antigen 43	"Antigen 43, AIDA-I type"	CVF451	Escherichia coli CFT073	Autotransporter
8664	VFG033842	218696653	agn43	antigen 43 (Ag43) phase-variable biofilm formation autotransporter; CP4-44 prophage	"Antigen 43, AIDA-I type"	SS064	Escherichia coli 55989	Secretion system
8665	VFG033846	218706548	agn43	antigen 43 (Ag43) phase-variable biofilm formation autotransporter; CP4-44 prophage	"Antigen 43, AIDA-I type"	CVF451	Escherichia coli O17:K52:H18 str. UMN026	Autotransporter
8666	VFG012460	110640537	agn43	putative autotransporter	"Antigen 43, AIDA-I type"	CVF451	Escherichia coli 536	Autotransporter
8667	VFG012318	117626627	fimG	P pilus assembly protein, pilin FimA	Type I fimbriae	CVF426	Escherichia coli APEC O1	Adherence
8668	VFG033342	386632335	fimG	FimG protein	Type I fimbriae	CVF426	Escherichia coli str. clone D i2	Adherence
8669	VFG012221	110644642	papE	PapE protein	P fimbriae	CVF425	Escherichia coli 536	Adherence
8670	VFG035110	218696638	EC55989_3339	hypothetical protein	SCI-I T6SS	CVF734	Escherichia coli 55989	Type VI secretion system
8671	VFG035107	410480999	O3M_04330	hypothetical protein	SCI-I T6SS	CVF734	Escherichia coli O104:H4 str. 2009EL-2050	Type VI secretion system
8672	VFG035102	26249221	c3386	hypothetical protein	SCI-I T6SS	CVF734	Escherichia coli CFT073	Type VI secretion system
8673	VFG035105	91212185	UTI89_C3191	hypothetical protein	SCI-I T6SS	CVF734	Escherichia coli UTI89	Type VI secretion system
8674	VFG035104	117625042	APECO1_3717	hypothetical protein	SCI-I T6SS	CVF734	Escherichia coli APEC O1	Type VI secretion system
8675	VFG033742	387884848	espF__3	protein EspF	EspF	CVF434	Escherichia coli O157:H7 str. Xuzhou21	LEE-encoded TTSS effectors
8676	VFG033738	291285038	espF__2	espF	LEE encoded T3SS	CVF434	Escherichia coli O55:H7 str. CB9615	LEE-encoded TTSS effectors
8677	VFG033744	260869668	espF__1	T3SS secreted effector EspF	LEE encoded T3SS	CVF434	Escherichia coli O111:H- str. 11128	LEE-encoded TTSS effectors
8678	VFG033745	260858280	espF__1	T3SS effector EspF	LEE encoded T3SS	CVF434	Escherichia coli O26:H11 str. 11368	LEE-encoded TTSS effectors
8679	VFG033743	260845679	espF__1	T3SS effector EspF	LEE encoded T3SS	CVF434	Escherichia coli O103:H2 str. 12009	LEE-encoded TTSS effectors
8680	VFG012507	91210149	iroD	IroD protein	Salmochelin siderophore	CVF456	Escherichia coli UTI89	Iron uptake
8681	VFG012508	88770273	iroD	IroD	Salmochelin siderophore	IA014	Escherichia coli APEC O1	Iron and heme acquisition
8682	VFG012506	110640510	iroD	putative esterase	Salmochelin siderophore	CVF456	Escherichia coli 536	Iron uptake
8683	VFG033457	215488966	espD__1	translocon EspD	LEE encoded T3SS	SS019	Escherichia coli O127:H6 str. E2348/69	Secretion system
8684	VFG033463	260845684	espD__1	translocon EspD	LEE encoded T3SS	CVF431	Escherichia coli O103:H2 str. 12009	Type III secretion system
8685	VFG033465	260858275	espD__1	translocator EspD	LEE encoded T3SS	CVF431	Escherichia coli O26:H11 str. 11368	Type III secretion system
8686	VFG033464	260869673	espD__1	translocon EspD	LEE encoded T3SS	CVF431	Escherichia coli O111:H- str. 11128	Type III secretion system
8687	VFG012262	117625211	papI__1	fimbrial regulatory protein	P fimbriae	CVF425	Escherichia coli APEC O1	Adherence
8688	VFG034973	260844371	nleF	T3SS effector NleF	T3SS	CVF718	Escherichia coli O103:H2 str. 12009	Non-LEE encoded TTSS effectors
8689	VFG034752	260867553	espK__3	T3SS secreted effector EspK	LEE encoded T3SS	CVF687	Escherichia coli O111:H- str. 11128	Non-LEE encoded TTSS effectors
8690	VFG034753	260854676	espK__3	T3SS effector EspK	LEE encoded T3SS	CVF687	Escherichia coli O26:H11 str. 11368	Non-LEE encoded TTSS effectors
8691	VFG034751	260844436	espK__3	T3SS effector EspK	LEE encoded T3SS	CVF687	Escherichia coli O103:H2 str. 12009	Non-LEE encoded TTSS effectors
8692	VFG034888	15830814	espX7	secreted effector protein	EspX7	CVF706	Escherichia coli O157:H7 str. Sakai	Non-LEE encoded TTSS effectors
8693	VFG035044	15831480	nleG7__2	hypothetical protein	NleG7	CVF730	Escherichia coli O157:H7 str. Sakai	Non-LEE encoded TTSS effectors
8694	VFG012290	117626623	fimI__1	FimI fimbrial protein	Type I fimbriae	CVF426	Escherichia coli APEC O1	Adherence
8695	VFG043119	15802385	fliR__5	flagellar biosynthesis protein FliR	peritrichous flagella	AI140	Escherichia coli O157:H7 str. EDL933	Adherence & invasion
8696	VFG040946	157154814	gspM__3	putative general secretion pathway protein YghD	gsp	SS206	Escherichia coli E24377A	Secretion system
8697	VFG033173	386622099	fimB__6	tyrosine recombinase	Type I fimbriae	CVF426	Escherichia coli NA114	Adherence
8698	VFG042490	13096075	cswE	CS12 fimbria chaperone protein precursor	coli surface antigen CS12 (PCFO159)	AI026	Escherichia coli O159:H4 str. 350C1	Adherence & invasion
8699	VFG035755	218557165	aec19__1	hypothetical protein	ACE T6SS	CVF736	Escherichia coli O45:K1:H7 str. S88	Type VI secretion system
8700	VFG035738	117622512	aec19__1	hypothetical protein	ACE T6SS	SS184	Escherichia coli APEC O1	Secretion system
8701	VFG042652	30524678	pixH	PixH protein	Pix pilus	AI078	Escherichia coli str. X2194	Adherence & invasion
8702	VFG034994	209396587	nleG2-3__2	non-LEE-encoded effector NleG	NleG2-3	CVF722	Escherichia coli O157:H7 str. EC4115	Non-LEE encoded TTSS effectors
8703	VFG012575	88770314	sitA	SitA	Iron/managanease transport	CVF459	Escherichia coli APEC O1	Iron uptake
8704	VFG033823	218511216	sat__2	Serine protease	Sat	CVF448	Escherichia coli 55989	Autotransporter
8705	VFG034951	291281154	nleB2-2	NleB	NleB2-2	CVF715	Escherichia coli O55:H7 str. CB9615	Non-LEE encoded TTSS effectors
8706	VFG034953	260843011	nleB2-2	T3SS effector NleB	NleB2-2	CVF715	Escherichia coli O103:H2 str. 12009	Non-LEE encoded TTSS effectors
8707	VFG035071	260866936	nleH1-1	T3SS secreted effector NleH	NleH1-1	CVF732	Escherichia coli O111:H- str. 11128	Non-LEE encoded TTSS effectors
8708	VFG035070	260843012	nleH1-1	T3SS effector NleH	NleH1-1	CVF732	Escherichia coli O103:H2 str. 12009	Non-LEE encoded TTSS effectors
8709	VFG035067	209398763	nleH1-1	non-LEE-encoded effector NleH	NleH1-1	CVF732	Escherichia coli O157:H7 str. EC4115	Non-LEE encoded TTSS effectors
8710	VFG034935	387508332	nleB1	non-LEE encoded effector protein NleB	T3SS	CVF713	Escherichia coli O55:H7 str. RM12579	Non-LEE encoded TTSS effectors
8711	VFG034939	260846956	nleB1	T3SS effector NleB-like protein	T3SS	CVF713	Escherichia coli O103:H2 str. 12009	Non-LEE encoded TTSS effectors
8712	VFG034941	260858283	nleB1	T3SS effector NleB	T3SS	CVF713	Escherichia coli O26:H11 str. 11368	Non-LEE encoded TTSS effectors
8713	VFG034940	260870886	nleB1	T3SS secreted effector NleB-like protein	T3SS	CVF713	Escherichia coli O111:H- str. 11128	Non-LEE encoded TTSS effectors
8714	VFG034934	215488272	nleB1	T3SS secreted effector NleB-like protein	T3SS	SS019	Escherichia coli O127:H6 str. E2348/69	Secretion system
8715	VFG033491	260869676	escD	T3SS structure protein EscD	LEE encoded T3SS	CVF431	Escherichia coli O111:H- str. 11128	Type III secretion system
8716	VFG033490	260845687	escD	T3SS structure protein EscD	LEE encoded T3SS	CVF431	Escherichia coli O103:H2 str. 12009	Type III secretion system
8717	VFG033484	215488969	escD	T3SS structure protein EscD	LEE encoded T3SS	SS019	Escherichia coli O127:H6 str. E2348/69	Secretion system
8718	VFG000740	2897964	escD	EscD	LEE encoded T3SS	VF0172	Escherichia coli O127:H6 str. E2348/69	Secretion system
8719	VFG042759	156121664	lngA	LngA	Longus pili (CS20)	AI099	Escherichia coli O8:H9 str. E9034A	Adherence & invasion
8720	VFG000763	6009400	perA/bfpT	transcriptional regulator BfpT	Per	VF0190	Escherichia coli B171	Regulation
8721	VFG034581	407484830	agg3D	Chaperone protein Agg3D	AAF/III fimbriae	CVF682	Escherichia coli O104:H4 str. 2011C-3493	Adherence
8722	VFG044171	26248334	hma	putative outer membrane receptor for iron compound or colicin	direct heme uptake system	IA048	Escherichia coli CFT073	Iron and heme acquisition
8723	VFG035414	410481022	aaiM	hypothetical protein	AAI/SCI-II T6SS	CVF735	Escherichia coli O104:H4 str. 2009EL-2050	Type VI secretion system
8724	VFG012587	110641371	sitD	iron transport protein, inner membrane component	Iron/managanease transport	CVF459	Escherichia coli 536	Iron uptake
8725	VFG012586	26247465	sitD	SitD protein	Iron/managanease transport	CVF459	Escherichia coli CFT073	Iron uptake
8726	VFG012590	88770311	sitD	SitD	Iron/managanease transport	CVF459	Escherichia coli APEC O1	Iron uptake
8727	VFG034245	387616517	sitD	iron transport protein, inner membrane component	Iron/managanease transport	CVF459	Escherichia coli O83:H1 str. NRG 857C	Iron uptake
